LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow,JT1
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,54,176.59,91.94,1,4.51,83,0.566283482
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,55,176.59,91.94,1,4.51,78.25,0.566283482
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,56,136.49,118.95,3,4.51,63,0.732654407
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,57,146.1,111.13,3,4.51,61,0.684462697
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,58,134.18,121,3,4.51,47.5,0.745267551
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,59,154.75,104.92,3,4.51,53,0.646203554
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,60,137.11,118.42,1,4.51,51,0.729341405
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,61,137.11,118.42,1,4.51,43,0.729341405
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,62,137.11,118.42,1,4.51,41,0.729341405
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,63,146.76,110.63,1,4.51,35,0.681384573
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,64,156.4,103.81,1,4.51,36.63,0.639386189
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,65,144.03,112.73,1,4.51,40,0.694299799
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,66,150.6,107.81,1,4.51,49,0.664010624
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,67,148.72,109.17,1,4.51,52,0.672404519
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,68,152.57,106.42,1,4.51,45.5,0.655436849
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,69,156.42,103.8,1,4.51,54.5,0.639304437
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,70,156.42,103.8,1,4.51,54.5,0.639304437
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,71,150.43,107.93,1,4.51,70.5,0.664761018
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,72,150.43,107.93,1,4.51,54,0.664761018
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,73,140.85,115.27,1,4.51,61.25,0.709975151
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,74,140.85,115.27,1,4.51,64.5,0.709975151
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,75,140.85,115.27,1,4.51,62.25,0.709975151
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,76,145.65,111.47,1,4.51,54,0.686577412
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,77,145.65,111.47,1,4.51,54.5,0.686577412
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,78,145.65,111.47,1,4.51,63,0.686577412
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,79,145.65,111.47,1,4.51,53,0.686577412
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,80,145.65,111.47,1,4.51,54.5,0.686577412
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,81,162.73,99.77,5,4.51,47.5,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,82,162.73,99.77,5,4.51,55,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,83,149.99,108.25,3,4.51,50,0.666711114
